,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
7199,2,89,53.0,33,52,2,4,217,0.8979,2011.0
3783,8,86,15.0,66,11,13,22,108,0.9169,2013.0
1524,3,91,47.0,23,40,10,4,408,0.9799,2006.0
2553,13,90,70.0,38,61,10,20,235,0.0,2011.0
6908,11,91,70.0,25,98,9,55,371,0.8519,2009.0
6342,1,85,14.0,3,129,3,38,172,0.7269,2012.0
1828,2,91,26.0,31,46,13,110,297,0.872,2015.0
9212,3,86,32.0,4,5,4,47,171,0.5423,2014.0
1630,3,87,29.0,7,10,6,18,265,0.4019,2011.0
17,1,86,14.0,10,14,3,16,252,0.0,2010.0
4625,3,92,55.0,4,360,3,4,324,0.7269,2010.0
3014,12,87,23.0,49,11,2,86,219,0.6369,2014.0
7465,2,89,20.0,36,343,2,18,193,0.802,2015.0
5065,3,90,40.0,7,109,10,20,344,0.8839,2010.0
7569,1,84,10.0,10,667,3,5,197,0.8817,2007.0
965,2,86,15.0,98,266,2,105,151,0.5267,2009.0
7311,3,86,18.0,4,4,4,5,113,0.3818,2015.0
7598,3,87,19.0,4,132,12,51,219,0.6249,2015.0
7243,3,85,14.0,4,69,12,5,166,0.4019,2014.0
3117,3,90,32.0,7,172,10,11,201,0.6908,2008.0
1428,3,94,55.0,4,22,4,4,343,0.4902,2010.0
483,2,87,14.0,36,124,2,4,166,0.6597,2016.0
4616,3,87,58.0,4,564,11,18,243,0.8885,2011.0
4132,3,87,33.0,5,6,5,23,315,0.8834,2007.0
8235,8,88,13.0,32,11,13,53,227,0.9382,2015.0
5493,1,90,45.0,19,27,1,25,187,0.0,2012.0
6863,3,94,45.0,4,149,3,4,328,0.9718,2008.0
8509,3,90,20.0,4,32,3,9,322,0.8625,2006.0
9379,3,87,23.0,7,109,6,81,295,0.8151,2015.0
2552,2,91,25.0,6,328,2,20,274,0.9441,2006.0
1155,3,92,20.0,4,298,3,22,358,0.9697,2009.0
6553,8,91,25.0,87,11,2,53,342,0.9371,2011.0
6455,3,84,18.0,5,67,5,30,258,0.4767,2010.0
3526,1,89,25.0,3,3,1,18,323,0.0,2011.0
2773,1,89,27.0,1,305,3,63,174,0.5423,2011.0
9009,3,88,9.0,7,25,6,22,128,0.0,2015.0
1083,2,89,22.0,98,285,2,105,286,0.8074,2014.0
6939,12,90,12.0,49,11,2,28,300,0.6597,2015.0
4974,3,90,35.0,4,39,3,15,289,0.9371,2007.0
3162,1,87,25.0,1,305,3,1,188,0.743,2010.0
3737,5,84,13.0,11,264,8,5,170,0.4588,2016.0
